date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:50	192133/192133	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202024%2010:56:44%20GMT	https://truenorthhr.ca/	C:/My%20Web%20Sites/HR%20consultancy/truenorthhr.ca/index.html	(from )
13:56:50	123/123	---MCZ	200	added ('OK')	text/plain	etag:W/%22660ba143-77%22	https://truenorthhr.ca/robots.txt		(from )
13:56:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2011%20Apr%202024%2010:56:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/HR%20consultancy/www.googletagmanager.com/gtm.05445.delayed	(from https://truenorthhr.ca/)
13:56:51	110147/110147	---MCZ	200	added ('OK')	text/css	etag:W/%22660ba145-1ae43%22	https://truenorthhr.ca/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/HR%20consultancy/truenorthhr.ca/wp-includes/css/dist/block-library/style.min84fc.css	(from https://truenorthhr.ca/)
13:56:51	139129/139129	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227c1d9464a6a5502336c8f12e6cc0c7eb%22	https://truenorthhr.ca/feed/	C:/My%20Web%20Sites/HR%20consultancy/truenorthhr.ca/feed/index.html	(from https://truenorthhr.ca/)
13:56:52	860/860	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227c1d9464a6a5502336c8f12e6cc0c7eb%22	https://truenorthhr.ca/comments/feed/	C:/My%20Web%20Sites/HR%20consultancy/truenorthhr.ca/comments/feed/index.html	(from https://truenorthhr.ca/)
13:56:53	11256/11256	---MCZ	200	added ('OK')	text/css	etag:W/%22660ba144-2bf8%22	https://truenorthhr.ca/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/HR%20consultancy/truenorthhr.ca/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://truenorthhr.ca/)
13:56:53	4186/4186	---MCZ	200	added ('OK')	text/css	etag:W/%22660ba144-105a%22	https://truenorthhr.ca/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.4.3	C:/My%20Web%20Sites/HR%20consultancy/truenorthhr.ca/wp-includes/js/mediaelement/wp-mediaelement.min84fc.css	(from https://truenorthhr.ca/)
13:56:53	17688/17688	---MCZ	200	added ('OK')	text/css	etag:W/%22660ba151-4518%22	https://truenorthhr.ca/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.7.0	C:/My%20Web%20Sites/HR%20consultancy/truenorthhr.ca/wp-content/plugins/woocommerce/assets/css/woocommerce-layout117a.css	(from https://truenorthhr.ca/)
13:56:53	7043/7043	---MCZ	200	added ('OK')	text/css	etag:W/%22660ba152-1b83%22	https://truenorthhr.ca/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.7.0	C:/My%20Web%20Sites/HR%20consultancy/truenorthhr.ca/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen117a.css	(from https://truenorthhr.ca/)
